Date,MSFT,KO,XOM,IBM,CVX,AAPL,UTX,PG,CAT,WBA,BA,PFE,JNJ,MMM,MRK,DIS,MCD,JPM,WMT,NKE,AXP,INTC,TRV,VZ,HD,C,CSCO,GS,V,UNH
20150224,361704880.65,184534160.69,378651583.18,163346530,204090175.04,769856943.16,112854143.82,230893605,51156215.5,87623170.64,110062133.4,216364561.38,281870377,107567084.8,166376948.28,177413033.25,92434915.92,227356654.98,272585178.3,65494475.02,82719780,162965760,35642070,204249415.28,153856302.25,157230427.2,151253416.57,83720652.12,133772416.14,110788675.13
20150225,360884502.15,184183751.65,379413798.4,161344710,205262237.92,750169236.67252,112471247.46,230785584.6,51549724.85,87208979.76,109085412.1707,218380771.62,283297923.1,107420795.6,166747561.77,178938510.75,96016306.64,228552875.46,269361988.3,66455408.42,84059910,160763520,35429974,204166420.8,153276458.37,157806029.92,150538753.11,83502879.12,134037540.52962,109464163.55
20150226,361417748.175,185979597.98,375390995.85,159422170,202388793.44,759634452.17252,111833086.86,230002436.7,50732436.2,88996540.4,108172868.9,217939725.63,287748508,107878744.4,168087472.08,177226586,96843530.04,230197678.62,270103322,66572093.19,85164750,159366400,35731548,204871873.88,152050879.26,158775466.08,152682743.49,83711941.2,134400847.5,109089845.06
20150227,359735972.25,189058365.2,371397852.6,160065382.56,200577602.4,748247186.32748,110591509.87,229894416.3,50251244.3,90786666.96,106256936.84388,210342303.6,285027927.39,107050581.1525,166147818.22,176890517.04,95054669.1,228471020.64,270522336.7,66661322.72,83154488.25,157472000,34527885.36,205484925.6,151220648.25,159034469.42,150640847.89,82676505.23379,133202900.22,108368362.85
20150302,359982085.8,188621740.8,369300507.6,158622283.52,199111062,751916719.32,111752670.83,230650559.1,50311861,91376758.44,108334874.4,213100288.35,287002074.58,108224875,166261345.94,179966726.07,96111900,230297894.01,270619032.4,67780123.75,83602925.25,161308160,34675715.1,205568033.76,153026071.24,162280689.99,154112070.41,83547747.23379,136629819.88962,109102708
20150303,355059814.8,187530179.8,367538737.8,159165916.72,197719728.8,753489401.28,110401006.9,229975431.6,50214874.28,90928726.02,109581648.20388,211813228.8,284555244.26,106809382.5,165580179.62,180748525.05,95862009.06,231043556.61,268717350.3,67244746.57,83480624.25,161473920,34515030.6,205900466.4,152960179.89,163008814.23,150793990.06,83321228.67,135161833.69038,107634017.7
20150304,353213963.175,185565370,365693074.2,157574554.08,197719728.8,748713049.67252,109802283.28,227788018.5,49542028.91,90721101.24,108722294.84388,212303537.2,282636706.85,106104810,164274610.84,179422865.91,96352179.75,231640086.69,266171030.2,66935875.12,82176080.25,161592320,34347918.72,203905870.56,151233826.52,162826783.17,149721994.87,82624235.07,134400847.5,108549564.9
20150305,353665171.35,185128745.6,363847410.6,159314170.43576,196911251.4,736306394.68,109575494.03,228544161.3,49408672.17,90917798.4,108806814.36,211261631.85,285055732.28,106365063.8475,164558430.14,178505101.89,95256504.09,231155406,269361988.3,67581073.26,82706051.25,159745280,34579304.4,203282559.36,152749327.57,162493059.56,149568852.7,82802839.68,134587413.06,109474649.05
20150306,347512332.6,181286450.88,359191304.7,156665204,194692639,737413096.8,108341760.51,223224156.6,48529730.02,89988950.7,107855890.56,208197204.35,278354753.79,104327510,161322890.12,176448630.66,93353488.47,227016978.57,266203262.1,66517182.71,81849944.25,157187840,34000840.2,200664652.32,150825300.15,160976134.06,147654575.575,81421921.11,132235705.08,107653091.6
20150309,351532187.25,180718839.16,357219800.4,158908926.48,195444711,740558460.72,110446364.75,224385375.9,48984355.27,91245627,109004043,208564935.65,279884022.74,105603357.5,162514931.18,178896001.38,93910937.49,229291249.5,267137987.2,66874100.83,82053779.25,154961920,34296499.68,200415327.84,151879561.75,160642410.45,149875137.04,81866250.17379,133256910.94962,109579555.5
20150310,344805083.55,177662468.36,353444579.4,155983191.44,193489323.8,725239373.48,106500231.8,220199585.4,48438804.97,90393272.64,107362818.96,207032721.9,276742070.17,102994528.6525,160584959.94,175207949.67,92546148.51,223549647.48,264527203.3,66242630.31,80626934.25,150131200,33656975.37,197423434.08,148334607.12,155424186.73,146301819.74,79592317.26621,130203127.30962,107252539.7
20150311,344394894.3,175086384.4,352437853.8,154984883.2,194673837.2,712017195.52,107352959.38,219794508.9,48311509.9,90163792.62,106482333.96,206113393.65,273377678.48,102658117.5,159109099.58,174868037.07,91267860.24,224593575.12,260079201.1,65439564.54,80973453.75,153114880,33959062.23,198129853.44,149006698.89,158761422.83,144259924.14,80232671.42379,129982189.5,107500500.4
20150312,336519260.7,177138519.08,353276791.8,156151223.52,192568035.6,724889888.6,109983714.68,221684865.9,48608531.73,92065198.5,107095144.47612,208381070,277576216.87,104397332.5,159421300.81,182142166.71,92507703.75,228806568.81,263979261,66606412.24,83123913,145868800,34653219.27,202493031.84,152999714.7,164070662.08,144157829.36,82746208.95,132353531.05038,109560481.6
20150313,339472623.3,174256798.04,351808650.3,152494054.72,191063891.6,719880605.32,107715822.18,220982733.3,48026611.41,91486034.64,106764096.20388,208381070,275852313.69,103299221.3475,159506446.6,180901485.72,92603815.65,227427093,263979261,65762163.61,82145505,146484480,34296499.68,202950126.72,151312896.14,162432382.54,142626407.66,82480480.14,130119658.86,109913348.75
20150316,340949304.6,175915970.76,355541924.4,155261641.92,193902963.4,727802262.6,108922340.99,225654615.6,48475174.99,94818958.74,108243303.96,211077766.2,280996218.34,105501803.8475,162117584.16,182482079.31,93372710.85,230596159.05,268459495.1,66194583.64,83062762.5,146010880,35006725.17,204736952.16,153526845.5,162887460.19,144464113.7,83595665.54379,132078592.33038,113031931.4
20150317,342056815.575,176876544.44,352689535.2,155143040.92424,193978170.6,739975985.92,108731838.02,223737253.5,47553801.15,94261650.12,108834982.83612,209422975.35,277743046.21,104244992.5,160272758.71,181785258.48,92430814.23,229701363.93,266299957.8,66263221.74,82614325.5,144874240,34948878.75,203407221.6,152314444.66,163342537.84,143698402.85,83016298.32621,129859449,112154532
